date,user_id,name,email,type,all_calls,inbound_calls,outbound_calls,voicemails,missed,abandoned,forwarded,cancelled,minutes,acd,inbound_minutes,outbound_minutes,internal_calls,forwarding_number,desktop_app,mobile_voip,desk_phone,web_app,callbacks_cancelled,handled,answered,answered_transferred,message,spam,in_queue_voicemail,dtmf_voicemail,direct_to_voicemail,transfer_voicemail,outbound_connected,connected_transferred,transferred_out,transferred_in,dtmf_transfer,auto_transfer,router_transfer,forward_transfer,ringing_duration,avg_ringing_duration,hold_duration,avg_hold_duration,talk_duration,avg_talk_duration,rejected,ring_no_answer
2026-08-29,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-30,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-31,4910041876537344,Winsalot Corp.,agent2@winsalotcorp.com,user,129,4,125,0,0,0,0,36,31.2,0.3,2.5,28.7,0,0,0,0,0,129,0,93,4,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,1.08,0.27,0,0,31.12,0.33,0,0
2026-08-31,6495819145158656,Winsalot Corp.,agent@winsalotcorp.com,user,149,1,148,0,1,0,0,46,31.4,0.3,0,31.4,0,0,0,148,0,0,0,102,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0.01,0.01,0,0,31.43,0.31,0,0
2026-09-01,4817832001675264,Winsalot Corp.,info@winsalotcorp.com,user,2,2,0,0,1,0,0,0,2.2,2.2,2.2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0.36,0,0,2.21,2.21,0,1
2026-09-01,4910041876537344,Winsalot Corp.,agent2@winsalotcorp.com,user,84,8,76,0,3,0,0,20,20.7,0.3,2.1,18.6,0,0,0,6,0,75,0,61,5,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,1.97,0.25,0,0,20.64,0.34,0,0
2026-09-01,6495819145158656,Winsalot Corp.,agent@winsalotcorp.com,user,134,4,130,1,3,0,0,40,25.6,0.3,0.3,25.3,0,0,0,131,0,0,0,91,1,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0.83,0.21,0,0,25.52,0.28,0,0
2026-09-02,6495819145158656,Winsalot Corp.,agent@winsalotcorp.com,user,117,5,112,0,3,1,0,27,28.5,0.3,0.9,27.6,0,0,0,113,0,0,0,86,1,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0.86,0.17,0,0,28.48,0.33,0,0
2026-09-02,4817832001675264,Winsalot Corp.,info@winsalotcorp.com,user,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0.43,0,0,0,0,0,1
2026-09-02,4910041876537344,Winsalot Corp.,agent2@winsalotcorp.com,user,103,4,99,1,2,1,0,30,24.9,0.4,0.3,24.6,0,0,0,1,0,99,0,70,1,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,1.21,0.3,0,0,24.91,0.36,0,0
2026-09-03,4910041876537344,Winsalot Corp.,agent2@winsalotcorp.com,user,90,5,85,0,1,0,0,34,23.9,0.4,6.1,17.8,0,0,0,0,0,89,0,55,4,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,1.2,0.24,0,0,23.92,0.43,0,0
2026-09-03,6495819145158656,Winsalot Corp.,agent@winsalotcorp.com,user,127,4,123,0,1,0,0,39,19.4,0.2,2.2,17.2,0,0,0,126,0,0,0,87,3,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0.64,0.16,0,0,19.42,0.22,0,0
2026-09-04,4910041876537344,Winsalot Corp.,agent2@winsalotcorp.com,user,99,5,94,0,2,0,0,32,17.8,0.3,2.2,15.6,0,0,0,0,0,97,0,65,3,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,1.43,0.29,0,0,17.79,0.27,0,0
2026-09-04,4817832001675264,Winsalot Corp.,info@winsalotcorp.com,user,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.46,0,0,0,0,0,0
2026-09-05,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
